model,cadence_s,first_report_s,trial_idx,max_visits,dt_ms,visits_at_first_packet,error,timestamp
b10c128,0.25,0.035,2,2000000,158.08261799812317,106,,1779000119.937528
b10c128,0.25,0.015,2,2000000,81.31796598434448,1,,1779000120.2837422
b10c128,0.25,0.023,2,2000000,49.49360799789429,15,,1779000120.5914052
b10c128,0.25,0.03,2,2000000,341.2386809885502,1804,,1779000121.2015622
b10c128,0.125,0.026,2,2000000,59.37626099586487,48,,1779000121.5208375
b10c128,0.125,0.012,2,2000000,182.32583099603653,785,,1779000121.9635131
b10c128,0.125,0.05,2,2000000,99.55296298861504,214,,1779000122.3240218
b10c128,0.25,0.115,2,2000000,197.254763007164,739,,1779000122.7825303
b10c128,0.25,0.06,2,2000000,156.2893560230732,262,,1779000123.1971152
b10c128,0.125,0.021,2,2000000,57.143486976623535,13,,1779000123.5151622
b10c128,0.25,0.045,2,2000000,70.53256899118423,92,,1779000123.842628
b10c128,0.25,0.028,2,2000000,68.16984704136848,8,,1779000124.169103
b10c128,0.25,0.026,2,2000000,105.78281503915787,1,,1779000124.533763
b10c128,0.125,0.024,2,2000000,48.465976029634476,4,,1779000124.8405278
b10c128,0.25,0.15,2,2000000,183.41697800159454,613,,1779000125.283016
b10c128,0.125,0.015,2,2000000,166.77936798334122,929,,1779000125.7095659
b10c128,0.125,0.022,2,2000000,89.47224199771881,2,,1779000126.0575593
b10c128,0.125,0.028,2,2000000,54.23958399891853,29,,1779000126.3699725
b10c128,0.25,0.003,2,2000000,286.3964659869671,1903,,1779000126.922113
b10c128,0.125,0.04,2,2000000,131.18676099181175,115,,1779000127.3174884
b10c128,0.125,0.02,2,2000000,86.54983296990395,13,,1779000127.6633923
b10c128,0.25,0.02,2,2000000,41.22067201137543,1,,1779000127.9621053
b10c128,0.125,0.075,2,2000000,154.40959599614143,388,,1779000128.3764958
b10c128,0.125,0.001,2,2000000,162.79155400395393,642,,1779000128.8006215
b10c128,0.25,0.021,2,2000000,327.6737070083618,1626,,1779000129.3905935
b10c128,0.125,0.023,2,2000000,56.00328600406647,2,,1779000129.710037
b10c128,0.125,0.005,2,2000000,251.35074299573898,718,,1779000130.2295709
b10c128,0.25,0.125,2,2000000,212.67872700095177,704,,1779000130.710981
b10c128,0.125,0.045,2,2000000,181.40805903077126,164,,1779000131.1623626
b10c128,0.125,0.027,2,2000000,146.8235729932785,34,,1779000131.5753584
b10c128,0.25,0.175,2,2000000,299.0561800301075,879,,1779000132.1555822
b10c128,0.25,0.012,2,2000000,346.8315349817276,1096,,1779000132.7667322
b10c128,0.25,0.027,2,2000000,117.73111799359322,46,,1779000133.1714885
b10c128,0.25,0.032,2,2000000,191.46959698200226,60,,1779000133.633848
b10c128,0.125,0.035,2,2000000,238.95341300964355,87,,1779000134.1402898
b10c128,0.25,0.025,2,2000000,177.96161597967148,6,,1779000134.59157
b10c128,0.25,0.001,2,2000000,440.21515798568726,1411,,1779000135.2982676
b10c128,0.125,0.003,2,2000000,269.75245398283005,676,,1779000135.8335714
b10c128,0.25,0.005,2,2000000,318.27407401800156,1590,,1779000136.416171
b10c128,0.25,0.05,2,2000000,107.79579997062683,201,,1779000136.7866886
b10c128,0.125,0.008,2,2000000,169.7483069896698,651,,1779000137.221566
b10c128,0.25,0.008,2,2000000,393.480770021677,1491,,1779000137.8804486
b10c128,0.125,0.1,2,2000000,186.57598501443863,396,,1779000138.3361516
b10c128,0.125,0.027,3,2000000,58.920639991760254,23,,1779000138.6804862
b10c128,0.125,0.115,3,2000000,251.43516001105309,575,,1779000139.2056513
b10c128,0.125,0.012,3,2000000,673.7156040072441,813,,1779000140.1405728
b10c128,0.25,0.02,3,2000000,77.69800299406052,2,,1779000140.4854026
b10c128,0.125,0.075,3,2000000,144.6737499833107,329,,1779000140.88828
b10c128,0.25,0.125,3,2000000,178.54555296897888,621,,1779000141.3317575
b10c128,0.25,0.045,3,2000000,112.58169004321098,117,,1779000141.7092876
b10c128,0.125,0.028,3,2000000,85.41983297467232,62,,1779000142.0550513
b10c128,0.125,0.01,3,2000000,163.54022496938705,719,,1779000142.4784646
b10c128,0.125,0.02,3,2000000,42.28507199883461,1,,1779000142.7805698
b10c128,0.25,0.1,3,2000000,139.1588709950447,538,,1779000143.1813657
b10c128,0.125,0.023,3,2000000,50.938713014125824,4,,1779000143.5023284
b10c128,0.125,0.05,3,2000000,82.68011200428009,151,,1779000143.888897
b10c128,0.25,0.2,3,2000000,230.3642439842224,1064,,1779000144.385628
b10c128,0.125,0.035,3,2000000,,,,1779000146.6500928
b10c128,0.125,0.018,3,2000000,173.2282609641552,720,,1779000147.0822806
b10c128,0.125,0.06,3,2000000,132.4177350103855,182,,1779000147.4735782
b10c128,0.25,0.008,3,2000000,371.7525560259819,1419,,1779000148.1143177
b10c128,0.25,0.012,3,2000000,290.75741401314735,1918,,1779000148.6632888
b10c128,0.25,0.035,3,2000000,59.025602012872696,80,,1779000148.9835637
b10c128,0.25,0.003,3,2000000,285.86435997486115,1578,,1779000149.5299873
b10c128,0.125,0.032,3,2000000,63.5006699860096,73,,1779000149.851752
b10c128,0.25,0.06,3,2000000,92.30507901310921,260,,1779000150.207152
b10c128,0.125,0.008,3,2000000,166.71930399537086,771,,1779000150.6347983
b10c128,0.25,0.026,3,2000000,53.59279999136925,28,,1779000150.948492
b10c128,0.125,0.026,3,2000000,85.41121500730515,18,,1779000151.2931247
b10c128,0.25,0.005,3,2000000,291.1088770329952,1724,,1779000151.8424437
b10c128,0.25,0.04,3,2000000,62.41328099370003,122,,1779000152.262259
b10c128,0.25,0.022,3,2000000,51.679215997457504,26,,1779000152.5744863
b10c128,0.125,0.1,3,2000000,128.97033298015594,560,,1779000152.9651494
b10c128,0.25,0.15,3,2000000,178.11404299736023,927,,1779000153.4015229
b10c128,0.25,0.027,3,2000000,148.39952901005745,27,,1779000153.8131294
b10c128,0.25,0.175,3,2000000,221.52329397201538,1161,,1779000154.2985663
b10c128,0.25,0.03,3,2000000,63.00436198711395,52,,1779000154.6198044
b10c128,0.125,0.045,3,2000000,90.74326398968697,74,,1779000154.979156
b10c128,0.125,0.015,3,2000000,73.82543700933456,1,,1779000155.3111405
b10c128,0.25,0.015,3,2000000,317.99705201387405,1805,,1779000155.8887239
b10c128,0.25,0.115,3,2000000,142.67464700341225,518,,1779000156.358134
b10c128,0.25,0.028,3,2000000,76.8293789923191,13,,1779000156.6957736
b10c128,0.25,0.021,3,2000000,51.87762099504471,2,,1779000157.0057662
b10c128,0.125,0.021,3,2000000,190.24567902088165,842,,1779000157.4574146
b10c128,0.125,0.022,3,2000000,48.36740204691887,6,,1779000157.7708945
b10c128,0.25,0.025,3,2000000,64.15029799938202,14,,1779000158.0955832
b10c128,0.25,0.032,3,2000000,70.54892402887344,51,,1779000158.4246907
b10c128,0.25,0.001,3,2000000,302.94573000073433,1770,,1779000158.9879854
b10c128,0.125,0.025,3,2000000,56.69054597616196,25,,1779000159.3054595
b10c128,0.25,0.01,3,2000000,334.86227399110794,1596,,1779000159.8995805
b10c128,0.125,0.003,3,2000000,189.8357179760933,695,,1779000160.4375904
b10c128,0.125,0.03,3,2000000,148.25198602676392,77,,1779000160.8485887
b10c128,0.125,0.005,3,2000000,194.40909600257874,721,,1779000161.3109477
b10c128,0.125,0.024,3,2000000,104.07709297537804,24,,1779000161.6815717
b10c128,0.25,0.024,3,2000000,64.39401599764824,19,,1779000162.022596
b10c128,0.25,0.023,3,2000000,72.37310001254082,4,,1779000162.358981
b10c128,0.25,0.05,3,2000000,78.96195700764656,178,,1779000162.6956272
b10c128,0.25,0.075,3,2000000,100.14584800601006,413,,1779000163.0547552
b10c128,0.125,0.04,3,2000000,71.8197860121727,89,,1779000163.3844953
b10c128,0.125,0.001,3,2000000,203.66818898916245,596,,1779000163.8486202
b10c128,0.25,0.018,3,2000000,34.65521901845932,2,,1779000164.2348194
b10c128,0.25,0.024,4,2000000,54.15734899044037,6,,1779000164.5567586
b10c128,0.125,0.04,4,2000000,69.80695700645447,103,,1779000164.8847556
b10c128,0.125,0.025,4,2000000,63.43649098277092,3,,1779000165.2073731
b10c128,0.25,0.032,4,2000000,61.700451016426086,80,,1779000165.5300972
b10c128,0.25,0.06,4,2000000,89.7299240231514,172,,1779000165.8792558
b10c128,0.25,0.021,4,2000000,297.9105230271816,1587,,1779000166.4367952
b10c128,0.125,0.06,4,2000000,83.99188297986984,290,,1779000166.7812483
b10c128,0.25,0.015,4,2000000,309.7834170162678,1650,,1779000167.3501163
b10c128,0.125,0.1,4,2000000,126.58430898189545,536,,1779000167.737403
b18c384nbt,0.25,0.018,0,2000000,318.8896759748459,172,,1779000197.7710974
b18c384nbt,0.125,0.032,0,2000000,189.74257698655128,74,,1779000198.218534
b18c384nbt,0.125,0.026,0,2000000,192.56475201249123,81,,1779000198.6691406
b18c384nbt,0.25,0.023,0,2000000,362.12504601478577,244,,1779000199.291896
b18c384nbt,0.125,0.005,0,2000000,193.74696499109268,47,,1779000199.7485647
b18c384nbt,0.125,0.1,0,2000000,129.42353102564812,12,,1779000200.1364515
b18c384nbt,0.125,0.012,0,2000000,169.27799499034882,43,,1779000200.5658176
b18c384nbt,0.125,0.03,0,2000000,197.69012400507927,64,,1779000201.02276
b18c384nbt,0.125,0.018,0,2000000,196.82212102413177,67,,1779000201.4771886
b18c384nbt,0.125,0.035,0,2000000,278.0555770099163,56,,1779000202.0138988
b18c384nbt,0.25,0.035,0,2000000,328.62451300024986,239,,1779000202.600553
b18c384nbt,0.125,0.04,0,2000000,194.8572429716587,45,,1779000203.0553591
b18c384nbt,0.125,0.02,0,2000000,185.9660219848156,62,,1779000203.500157
b18c384nbt,0.25,0.005,0,2000000,314.82584899663925,202,,1779000204.0725195
b18c384nbt,0.25,0.1,0,2000000,127.21896696090698,1,,1779000204.4575744
b18c384nbt,0.25,0.025,0,2000000,318.46394300460815,255,,1779000205.0351655
b18c384nbt,0.125,0.045,0,2000000,202.10859498381615,87,,1779000205.4978006
b18c384nbt,0.125,0.01,0,2000000,164.21371403336525,64,,1779000205.9203007
b18c384nbt,0.25,0.175,0,2000000,255.94229900836945,34,,1779000206.4362237
b18c384nbt,0.25,0.032,0,2000000,341.4384469985962,190,,1779000207.0388238
b18c384nbt,0.25,0.028,0,2000000,311.8088449835777,200,,1779000207.6117043
b18c384nbt,0.25,0.022,0,2000000,326.33338499069214,207,,1779000208.2002838
b18c384nbt,0.25,0.024,0,2000000,348.1863520145416,238,,1779000208.8089414
b18c384nbt,0.125,0.027,0,2000000,189.4438600242138,78,,1779000209.2565982
