name,n_samples,V_max,best_target,target,status,H,kappa,rel_resid_std,pearson_resid_v,monotonicity_drop,peak_position,y_range,reason
2000-06-13f__turn102,976,15000,visit_entropy_reduction,visit_entropy_reduction,degenerate,2726814.9290861906,72885406462.12123,0.14279791232134087,0.3854309401007194,0.0027119486403553057,0.9815384615384616,0.7349932020845206,
2000-06-13f__turn102,976,15000,visit_entropy_reduction,winrate_drift,degenerate,16.40892718462831,33366016.002242886,0.22356129894840118,0.40094717896913057,0.0,0.9989743589743589,0.033083245158195496,
2000-06-13f__turn102,976,15000,visit_entropy_reduction,scoreLead_drift,degenerate,299.9281119946029,179306496.06100348,0.1738404873657501,0.577904982476967,0.0,0.9989743589743589,1.122756004333496,
2000-06-13f__turn102,976,15000,visit_entropy_reduction,L2_joint_drift,degenerate,30.44104838006039,67239936.00470798,0.19993328886271053,0.5456681049910254,0.0,0.9989743589743589,0.05515932757407427,
2000-06-13h__turn74,907,15000,winrate_drift,visit_entropy_reduction,degenerate,2.9378260383487818e-12,32.000000000000185,0.12158853273904595,0.32761882449309765,inf,0.0,0.6212509577321617,
2000-06-13h__turn74,907,15000,winrate_drift,winrate_drift,clean,0.03927158982184143,52556.116450485126,0.1276506916586324,0.13519033653278456,0.0,0.9988962472406181,0.020364612340927124,
2000-06-13h__turn74,907,15000,winrate_drift,scoreLead_drift,degenerate,2257.4093590746525,352780288.2672965,0.21251533586982965,0.45993019253980316,0.0,0.9988962472406181,0.48108458518981934,
2000-06-13h__turn74,907,15000,winrate_drift,L2_joint_drift,degenerate,42.838485583985054,72121755.00517859,0.15524229804153333,0.4067530392046815,0.0,0.9988962472406181,0.025421524420380592,
2000-06-15i__turn41,199,15000,L2_joint_drift,visit_entropy_reduction,degenerate,5.444572865377447e-12,276.00000000000006,0.10392161040795035,0.25301760958447944,inf,0.0,0.2579638830812483,
2000-06-15i__turn41,199,15000,L2_joint_drift,winrate_drift,clean,0.035407215013523875,13928.328514568586,0.08324893494716452,0.012731867274460478,0.0,0.9949494949494949,0.0174616277217865,
2000-06-15i__turn41,199,15000,L2_joint_drift,scoreLead_drift,clean,0.9086429498028888,10017.39474935248,0.08427346745616801,-0.0661342019864402,0.0,0.9949494949494949,0.5235571265220642,
